log_mass_to_light_ratio,log_Omega,log_prob
-0.6,1.0,-27811.547
-0.5755102,1.0,-27152.035
-0.5510204,1.0,-26394.25
-0.5265306,1.0,-25587.277
-0.5020408,1.0,-24629.715
-0.477551,1.0,-23835.418
-0.45306122,1.0,-23169.639
-0.42857143,1.0,-22514.752
-0.40408164,1.0,-21922.541
-0.37959182,1.0,-21241.281
-0.35510203,1.0,-20522.36
-0.33061224,1.0,-19876.934
-0.30612245,1.0,-19264.477
-0.28163266,1.0,-18750.727
-0.25714287,1.0,-18444.605
-0.23265307,1.0,-18181.305
-0.20816326,1.0,-17945.871
-0.18367347,1.0,-17650.406
-0.15918367,1.0,-17393.756
-0.13469388,1.0,-17466.541
-0.11020408,1.0,-17945.54
-0.08571429,1.0,-18850.008
-0.06122449,1.0,-20136.146
-0.036734693,1.0,-21918.9
-0.012244898,1.0,-24571.648
0.012244898,1.0,-27892.947
0.036734693,1.0,-31963.562
0.06122449,1.0,-36887.09
0.08571429,1.0,-42843.605
0.11020408,1.0,-49965.26
0.13469388,1.0,-58321.55
0.15918367,1.0,-68422.41
0.18367347,1.0,-80012.49
0.20816326,1.0,-93515.63
0.23265307,1.0,-109038.12
0.25714287,1.0,-126684.18
0.28163266,1.0,-146443.61
0.30612245,1.0,-168090.25
0.33061224,1.0,-191749.31
0.35510203,1.0,-217416.67
0.37959182,1.0,-245684.03
0.40408164,1.0,-275858.1
0.42857143,1.0,-308618.75
0.45306122,1.0,-343131.94
0.477551,1.0,-378841.56
0.5020408,1.0,-418346.06
0.5265306,1.0,-459540.84
0.5510204,1.0,-502324.62
0.5755102,1.0,-547430.7
0.6,1.0,-594451.6
-0.6,1.0340798,-28497.934
-0.5755102,1.0340798,-27527.66
-0.5510204,1.0340798,-26601.645
-0.5265306,1.0340798,-25418.082
-0.5020408,1.0340798,-24536.004
-0.477551,1.0340798,-23809.477
-0.45306122,1.0340798,-23160.352
-0.42857143,1.0340798,-22546.475
-0.40408164,1.0340798,-21863.824
-0.37959182,1.0340798,-21172.807
-0.35510203,1.0340798,-20436.598
-0.33061224,1.0340798,-19742.773
-0.30612245,1.0340798,-19192.195
-0.28163266,1.0340798,-18712.236
-0.25714287,1.0340798,-18366.154
-0.23265307,1.0340798,-18053.322
-0.20816326,1.0340798,-17704.441
-0.18367347,1.0340798,-17329.678
-0.15918367,1.0340798,-17134.113
-0.13469388,1.0340798,-17206.18
-0.11020408,1.0340798,-17588.69
-0.08571429,1.0340798,-18260.422
-0.06122449,1.0340798,-19382.746
-0.036734693,1.0340798,-20974.072
-0.012244898,1.0340798,-23197.152
0.012244898,1.0340798,-26244.445
0.036734693,1.0340798,-30235.613
0.06122449,1.0340798,-35187.74
0.08571429,1.0340798,-41281.824
0.11020408,1.0340798,-48775.32
0.13469388,1.0340798,-57683.38
0.15918367,1.0340798,-68036.555
0.18367347,1.0340798,-79871.18
0.20816326,1.0340798,-93509.39
0.23265307,1.0340798,-109025.01
0.25714287,1.0340798,-126407.78
0.28163266,1.0340798,-146005.08
0.30612245,1.0340798,-167759.52
0.33061224,1.0340798,-191474.27
0.35510203,1.0340798,-216741.25
0.37959182,1.0340798,-244133.38
0.40408164,1.0340798,-273311.12
0.42857143,1.0340798,-303955.78
0.45306122,1.0340798,-336430.34
0.477551,1.0340798,-370045.47
0.5020408,1.0340798,-405540.47
0.5265306,1.0340798,-444008.3
0.5510204,1.0340798,-484207.9
0.5755102,1.0340798,-525418.0
0.6,1.0340798,-568079.9
-0.6,1.0656788,-27559.084
-0.5755102,1.0656788,-26730.352
-0.5510204,1.0656788,-25860.582
-0.5265306,1.0656788,-25187.887
-0.5020408,1.0656788,-24712.297
-0.477551,1.0656788,-24102.613
-0.45306122,1.0656788,-23654.473
-0.42857143,1.0656788,-23145.63
-0.40408164,1.0656788,-22538.174
-0.37959182,1.0656788,-21873.47
-0.35510203,1.0656788,-21233.666
-0.33061224,1.0656788,-20556.49
-0.30612245,1.0656788,-19957.469
-0.28163266,1.0656788,-19523.354
-0.25714287,1.0656788,-19020.637
-0.23265307,1.0656788,-18498.225
-0.20816326,1.0656788,-18051.564
-0.18367347,1.0656788,-17873.035
-0.15918367,1.0656788,-17730.453
-0.13469388,1.0656788,-17808.93
-0.11020408,1.0656788,-18121.562
-0.08571429,1.0656788,-19021.145
-0.06122449,1.0656788,-20494.07
-0.036734693,1.0656788,-22594.79
-0.012244898,1.0656788,-25486.824
0.012244898,1.0656788,-28986.166
0.036734693,1.0656788,-33455.31
0.06122449,1.0656788,-38915.383
0.08571429,1.0656788,-45682.62
0.11020408,1.0656788,-53816.074
0.13469388,1.0656788,-63393.19
0.15918367,1.0656788,-74747.64
0.18367347,1.0656788,-87852.484
0.20816326,1.0656788,-102676.695
0.23265307,1.0656788,-119315.38
0.25714287,1.0656788,-137894.6
0.28163266,1.0656788,-158518.34
0.30612245,1.0656788,-180725.6
